City_ID,City,Country,Lat,Lng,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
377,Roebourne,AU,-20.78,117.13,85.57,85.57,30,80,11.97,broken clouds
378,Peniche,PT,39.36,-9.38,59.94,65.73,87,0,17.78,clear sky
379,Lorengau,PG,-2.02,147.27,84.0,84.0,72,88,7.09,overcast clouds
380,Ciudad Bolivar,VE,8.12,-63.55,73.9,73.9,90,100,3.58,overcast clouds
381,Ketchikan,US,55.34,-131.65,52.97,52.97,82,32,3.02,scattered clouds
382,Leningradskiy,RU,69.38,178.42,34.34,34.34,84,96,14.12,overcast clouds
383,Adrar,MR,20.5,-10.07,87.26,87.26,35,54,10.98,broken clouds
384,La Asuncion,VE,11.03,-63.86,78.37,78.37,82,96,13.04,overcast clouds
385,Havre-Saint-Pierre,CA,50.23,-63.6,62.11,62.11,72,55,10.02,broken clouds
386,Honghu,CN,29.82,113.46,76.98,76.98,89,100,6.17,moderate rain
387,Benghazi,LY,32.12,20.07,79.74,79.74,58,0,8.08,clear sky
388,Kokopo,PG,-4.35,152.26,82.31,82.31,74,92,3.6,light rain
389,Tranas,SE,58.04,14.98,52.39,54.37,98,100,3.29,overcast clouds
390,Kampot,KH,10.62,104.18,87.85,87.85,56,12,3.62,few clouds
391,Bardiyah,LY,31.76,25.09,77.56,77.56,62,0,2.48,clear sky
392,Acapulco,MX,16.86,-99.89,79.48,79.48,84,100,1.86,overcast clouds
393,Mandalgovi,MN,45.76,106.27,75.52,75.52,36,100,11.18,overcast clouds
394,Ambon,ID,-3.7,128.18,81.23,81.23,80,29,10.45,light rain
395,Port Lincoln,AU,-34.73,135.87,56.93,56.93,69,100,11.61,overcast clouds
396,Saint Anthony,US,45.02,-93.22,63.28,71.91,63,1,1.99,clear sky
397,San Juan,AR,-31.54,-68.54,56.26,56.26,26,32,1.57,scattered clouds
398,Ondjiva,AO,-17.07,15.73,55.98,55.98,32,0,4.63,clear sky
399,Manta,EC,-0.95,-80.73,73.18,73.18,83,75,6.91,broken clouds
400,Port Blair,IN,11.67,92.75,83.37,83.37,76,97,14.54,moderate rain
