City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
382,Amarillo,US,86.04,clear sky,35.22,-101.83,Microtel Inn & Suites by Wyndham Amarillo
383,Dongli,CN,80.58,few clouds,23.57,116.82,Chenghai Shizhang Donghuaqiao Hostel
384,Margate,GB,66.9,overcast clouds,51.38,1.39,Premier Inn Margate hotel
385,Taltal,CL,64.9,clear sky,-25.4,-70.48,Residencial Karime
386,Ewa Beach,US,75.15,clear sky,21.32,-158.01,Uncle Junior Robert
387,Ilhabela,BR,72.63,scattered clouds,-23.78,-45.36,Ilha Flat Hotel
388,Lang Son,VN,75.88,broken clouds,21.83,106.73,Khai Nga Hotel
389,Tartagal,AR,82.54,clear sky,-22.52,-63.8,Almuñecar Hotel
391,Tongling,CN,73.47,light rain,30.95,117.78,Anhui Tongquetai New Century International Hotel
392,Semey,KZ,66.42,clear sky,50.41,80.23,Grand Hotel Semey
393,Denpasar,ID,80.26,scattered clouds,-8.65,115.22,OYO 2225 Catur Adi Putra
394,Luganville,VU,75.33,broken clouds,-15.53,167.17,The Espiritu Hotel
397,Surakarta,ID,75.38,broken clouds,-7.56,110.83,ibis Styles Solo
398,Manaus,BR,86.49,scattered clouds,-3.1,-60.02,Manaus Hotéis Millennium
399,Saint-Philippe,RE,67.59,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
400,Mogadishu,SO,76.46,scattered clouds,2.04,45.34,Hotel Juba
401,Hervey Bay,AU,60.04,scattered clouds,-25.3,152.85,Shelly Bay Resort
402,Blyth,GB,69.37,clear sky,55.13,-1.51,Luxury Caravan with Sea Views close to Beach
403,Teknaf,BD,78.46,moderate rain,20.86,92.31,Shilbania para
406,Grand Gaube,MU,70.2,few clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
407,Nueve De Julio,AR,65.01,moderate rain,-35.44,-60.88,Grand Hotel Libertad - GHL
409,Kismayo,SO,76.1,broken clouds,-0.36,42.55,Agan-Hotel
411,Inhambane,MZ,69.78,broken clouds,-23.86,35.38,Oceano
413,Dolores,AR,60.04,overcast clouds,-36.31,-57.68,Apart Hotel - Arianos
418,Palizada,MX,85.98,scattered clouds,18.25,-92.08,Hotel San Joaquín
420,Along,IN,76.06,overcast clouds,28.17,94.77,Hotel West
421,Kavaratti,IN,81.91,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
422,Newport,GB,65.86,overcast clouds,51.59,-3.0,ibis budget Newport
424,Misratah,LY,85.51,clear sky,32.38,15.09,فندق الماسة
426,Mayumba,GA,75.61,overcast clouds,-3.43,10.66,LIKWALE LODGE
427,Lodwar,KE,89.73,clear sky,3.12,35.6,Solmar Gracious Hotel
429,Mbanza-Ngungu,CD,82.6,light rain,-5.25,14.87,Hotel Full Business
431,Calabozo,VE,85.75,overcast clouds,8.92,-67.43,Hotel Giardini
432,Padang,ID,77.61,overcast clouds,-0.95,100.35,Mercure Padang
433,Asau,RO,85.12,broken clouds,46.43,26.4,Casa Mika Ciobanus
434,Weligama,LK,77.11,light rain,5.97,80.42,Weligama Bay Resort
435,Tautira,PF,77.02,scattered clouds,-17.73,-149.15,Pension Oaoa
437,Guozhen,CN,72.73,overcast clouds,34.37,107.36,Yucai Hotel
439,Wittmund,DE,63.01,scattered clouds,53.57,7.78,Hof von Hannover
441,Beira,MZ,71.69,scattered clouds,-19.84,34.84,Beira Terrace Hotel
444,Gambela,ET,74.14,overcast clouds,8.25,34.58,Solomon Debebe Hotel
446,Novopokrovka,UA,84.58,scattered clouds,49.84,36.55,Пудж дом
448,Mbandaka,CD,76.5,light rain,0.05,18.26,Guest House Epervier
450,Tura,IN,74.34,overcast clouds,25.52,90.22,Hotel RIKMAN Continental
453,Berga,NO,69.08,few clouds,60.39,5.33,Clarion Collection Hotel Havnekontoret
454,Bandarbeyla,SO,76.66,scattered clouds,9.49,50.81,JABIR HOTEL
455,Skelleftea,SE,60.01,scattered clouds,64.75,20.95,Quality Hotel Skellefteå Stadshotell
456,Isabela,PH,78.39,heavy intensity rain,6.71,121.97,Isawad Resort
457,Mount Isa,AU,65.97,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
458,Ko Samui,TH,81.57,overcast clouds,9.54,99.94,The Passage Samui Villas & Resort
459,Pacifica,US,76.87,few clouds,37.61,-122.49,"Pacifica Lighthouse, Trademark Collection by Wyndham"
461,Mossendjo,CG,77.9,overcast clouds,-2.95,12.73,HOTEL D'ASSISE
462,Schonebeck,DE,64.62,light rain,52.02,11.75,Hotel Am Kurpark
463,Ferrol,ES,70.72,clear sky,43.48,-8.24,Parador de Ferrol
464,Dhone,IN,73.99,overcast clouds,15.42,77.88,Pennera Rakesh
465,Mangalia,RO,81.73,clear sky,43.8,28.58,Hotel Paradiso
467,Wembley,AU,67.01,clear sky,-31.93,115.8,Quest on Rheola
468,Daru,PG,76.69,broken clouds,-9.08,143.21,Daru Lodge
469,Olinda,BR,71.33,broken clouds,-8.01,-34.86,Pousada Sitio Do Carmo
470,Varel,DE,60.91,scattered clouds,53.4,8.14,Upstalsboom Landhotel Friesland
472,Xichang,CN,68.68,light rain,27.9,102.26,Xichang ibis Hotel
473,Ondjiva,AO,87.84,haze,-17.07,15.73,SOS Motel
474,Jumla,NP,62.62,broken clouds,29.27,82.18,Hotel Sundar Rara Karnali
475,Sao Jose Da Coroa Grande,BR,77.34,overcast clouds,-8.9,-35.15,Crôa Mares Hotel
478,Hualmay,PE,66.43,broken clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
480,Shellbrook,CA,67.23,broken clouds,53.22,-106.4,Shellbrook Hotel
481,Chapais,CA,74.98,few clouds,49.78,-74.85,Hôtel Opémiska
484,San Jose,US,78.28,haze,37.34,-121.89,The Westin San Jose
485,Bhadrachalam,IN,75.85,overcast clouds,17.67,80.88,Hotel Srinidhi Residency
486,Sechura,PE,74.82,broken clouds,-5.56,-80.82,Hospedaje Costa Bella
488,Wiang Sa,TH,76.51,overcast clouds,8.64,99.37,ชำนาญอินน์
489,Los Llanos De Aridane,ES,85.75,clear sky,28.66,-17.92,Valle Aridane
491,Sijunjung,ID,72.34,overcast clouds,-0.69,100.95,Hotel Bukik Gadang
492,Gat,IL,85.82,clear sky,31.61,34.76,OlusHome
493,Trzebiatow,PL,66.47,overcast clouds,54.06,15.26,MNE Apartament
496,Gamovo,RU,69.42,clear sky,57.87,56.11,Bed and Breakfast on Tsentralnaya 3
502,Buluang,PH,76.8,broken clouds,13.31,123.34,Enon Beach Resort
504,Road Town,VG,87.89,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
506,Mackay,AU,60.04,scattered clouds,-21.15,149.2,International Lodge Motel
